object_id,cluster_id,rgb_value,occurence,r_value,g_value,b_value,h_value,s_value,v_value
70,Cluster4,"(60, 15, 15)",1,60,15,15,0,0.75,0.24
71,Cluster3,"(150, 105, 30)",1,150,105,30,37.5,0.8,0.59
71,Cluster2,"(90, 30, 0)",1,90,30,0,20,1,0.35
72,Cluster3,"(255, 240, 195)",1,255,240,195,45,0.24,1
72,Cluster1,"(75, 75, 45)",24,75,75,45,60,0.4,0.29
74,Cluster5,"(195, 195, 165)",23,195,195,165,60,0.15,0.76
76,Cluster5,"(105, 75, 15)",4,105,75,15,40,0.86,0.41
76,Cluster2,"(150, 120, 60)",16,150,120,60,40,0.6,0.59
77,Cluster4,"(195, 165, 105)",17,195,165,105,40,0.46,0.76
78,Cluster3,"(60, 60, 30)",20,60,60,30,60,0.5,0.24
80,Cluster2,"(135, 150, 150)",13,135,150,150,180,0.1,0.59
81,Cluster5,"(105, 105, 75)",21,105,105,75,60,0.29,0.41
82,Cluster1,"(75, 105, 90)",3,75,105,90,150,0.29,0.41
82,Cluster2,"(60, 60, 60)",53,60,60,60,0,0,0.24
83,Cluster3,"(240, 210, 180)",18,240,210,180,30,0.25,0.94
84,Cluster1,"(60, 90, 90)",4,60,90,90,180,0.33,0.35
84,Cluster4,"(105, 120, 135)",7,105,120,135,210,0.22,0.53
84,Cluster2,"(150, 165, 165)",3,150,165,165,180,0.09,0.65
84,Cluster5,"(195, 210, 210)",3,195,210,210,180,0.07,0.82
85,Cluster3,"(15, 0, 0)",30,15,0,0,0,1,0.06
85,Cluster2,"(195, 210, 195)",3,195,210,195,120,0.07,0.82
87,Cluster5,"(90, 90, 30)",2,90,90,30,60,0.67,0.35
87,Cluster2,"(120, 135, 120)",14,120,135,120,120,0.11,0.53
88,Cluster3,"(165, 105, 15)",1,165,105,15,36,0.91,0.65
88,Cluster2,"(150, 210, 210)",1,150,210,210,180,0.29,0.82
89,Cluster2,"(150, 150, 135)",77,150,150,135,60,0.1,0.59
90,Cluster4,"(90, 105, 150)",2,90,105,150,225,0.4,0.59
90,Cluster5,"(135, 150, 165)",6,135,150,165,210,0.18,0.65
91,Cluster1,"(150, 105, 60)",27,150,105,60,30,0.6,0.59
91,Cluster3,"(165, 135, 75)",15,165,135,75,40,0.55,0.65
92,Cluster4,"(210, 225, 210)",1,210,225,210,120,0.07,0.88
94,Cluster4,"(180, 120, 45)",4,180,120,45,33.33,0.75,0.71
94,Cluster3,"(30, 15, 30)",2,30,15,30,300,0.5,0.12
95,Cluster1,"(75, 75, 30)",4,75,75,30,60,0.6,0.29
97,Cluster3,"(165, 135, 90)",41,165,135,90,36,0.45,0.65
98,Cluster2,"(45, 60, 30)",2,45,60,30,90,0.5,0.24
98,Cluster5,"(120, 120, 105)",68,120,120,105,60,0.13,0.47
103,Cluster2,"(210, 210, 180)",26,210,210,180,60,0.14,0.82
104,Cluster2,"(195, 180, 180)",17,195,180,180,0,0.08,0.76
105,Cluster4,"(135, 120, 120)",26,135,120,120,0,0.11,0.53
106,Cluster5,"(150, 60, 30)",2,150,60,30,15,0.8,0.59
106,Cluster1,"(210, 135, 105)",1,210,135,105,17.14,0.5,0.82
106,Cluster4,"(75, 90, 90)",7,75,90,90,180,0.17,0.35
107,Cluster5,"(120, 120, 90)",25,120,120,90,60,0.25,0.47
108,Cluster5,"(120, 120, 75)",3,120,120,75,60,0.37,0.47
111,Cluster3,"(75, 120, 105)",1,75,120,105,160,0.37,0.47
112,Cluster1,"(165, 165, 135)",21,165,165,135,60,0.18,0.65
115,Cluster3,"(90, 90, 45)",5,90,90,45,60,0.5,0.35
117,Cluster5,"(165, 135, 120)",32,165,135,120,20,0.27,0.65
120,Cluster4,"(150, 150, 120)",27,150,150,120,60,0.2,0.59
120,Cluster2,"(210, 225, 225)",1,210,225,225,180,0.07,0.88
121,Cluster4,"(180, 105, 75)",2,180,105,75,17.14,0.58,0.71
121,Cluster5,"(120, 60, 45)",4,120,60,45,12,0.62,0.47
122,Cluster2,"(255, 240, 240)",12,255,240,240,0,0.06,1
122,Cluster1,"(60, 75, 60)",10,60,75,60,120,0.2,0.29
122,Cluster5,"(90, 105, 90)",8,90,105,90,120,0.14,0.41
123,Cluster3,"(210, 180, 105)",3,210,180,105,42.86,0.5,0.82
123,Cluster1,"(120, 75, 30)",7,120,75,30,30,0.75,0.47
123,Cluster4,"(120, 120, 120)",14,120,120,120,0,0,0.47
124,Cluster4,"(105, 105, 90)",88,105,105,90,60,0.14,0.41
126,Cluster4,"(165, 120, 90)",23,165,120,90,24,0.45,0.65
126,Cluster3,"(15, 15, 30)",4,15,15,30,240,0.5,0.12
128,Cluster1,"(90, 135, 150)",3,90,135,150,195,0.4,0.59
128,Cluster5,"(165, 165, 180)",3,165,165,180,240,0.08,0.71
134,Cluster2,"(150, 120, 105)",43,150,120,105,20,0.3,0.59
135,Cluster3,"(195, 135, 45)",1,195,135,45,36,0.77,0.76
138,Cluster3,"(165, 45, 15)",1,165,45,15,12,0.91,0.65
138,Cluster2,"(195, 165, 165)",3,195,165,165,0,0.15,0.76
138,Cluster5,"(120, 105, 105)",35,120,105,105,0,0.13,0.47
138,Cluster1,"(15, 0, 15)",6,15,0,15,300,1,0.06
145,Cluster2,"(195, 165, 90)",6,195,165,90,42.86,0.54,0.76
148,Cluster4,"(165, 135, 105)",56,165,135,105,30,0.36,0.65
148,Cluster2,"(180, 165, 165)",18,180,165,165,0,0.08,0.71
150,Cluster5,"(225, 195, 180)",19,225,195,180,20,0.2,0.88
150,Cluster4,"(120, 90, 90)",5,120,90,90,0,0.25,0.47
154,Cluster4,"(30, 45, 60)",2,30,45,60,210,0.5,0.24
154,Cluster3,"(75, 90, 105)",4,75,90,105,210,0.29,0.41
154,Cluster2,"(60, 75, 75)",10,60,75,75,180,0.2,0.29
156,Cluster3,"(120, 75, 15)",5,120,75,15,34.29,0.88,0.47
158,Cluster1,"(195, 150, 105)",23,195,150,105,30,0.46,0.76
159,Cluster3,"(0, 60, 60)",1,0,60,60,180,1,0.24
161,Cluster4,"(120, 75, 45)",20,120,75,45,24,0.62,0.47
162,Cluster5,"(150, 45, 15)",1,150,45,15,13.33,0.9,0.59
167,Cluster5,"(120, 150, 105)",2,120,150,105,100,0.3,0.59
167,Cluster2,"(150, 165, 135)",3,150,165,135,90,0.18,0.65
172,Cluster5,"(75, 105, 120)",6,75,105,120,200,0.37,0.47
175,Cluster2,"(120, 135, 135)",8,120,135,135,180,0.11,0.53
176,Cluster5,"(225, 210, 135)",1,225,210,135,50,0.4,0.88
181,Cluster5,"(135, 90, 30)",6,135,90,30,34.29,0.78,0.53
183,Cluster2,"(45, 60, 45)",7,45,60,45,120,0.25,0.24
184,Cluster2,"(240, 240, 210)",29,240,240,210,60,0.13,0.94
190,Cluster2,"(225, 180, 150)",6,225,180,150,24,0.33,0.88
191,Cluster2,"(225, 240, 225)",1,225,240,225,120,0.06,0.94
192,Cluster2,"(150, 105, 45)",9,150,105,45,34.29,0.7,0.59
193,Cluster1,"(135, 150, 135)",8,135,150,135,120,0.1,0.59
194,Cluster2,"(105, 120, 90)",6,105,120,90,90,0.25,0.47
195,Cluster3,"(30, 90, 105)",1,30,90,105,192,0.71,0.41
196,Cluster4,"(180, 150, 135)",27,180,150,135,20,0.25,0.71
